project_key,project_url,project_type,languages,complexoty,bugs,code_smell,ncloc,violations
0-1com_bbc1,https://github.com/0-1com/bbc1,github,apex|css|js|json|py|web|,6318,236,1630,40833,1866
MarioTesoro_Web_scraping,https://github.com/MarioTesoro/Web_scraping,github,py|,206,0,273,1012,273
21epub_epub-python-core,https://github.com/21epub/epub-python-core,github,py|,262,0,31,3813,31
2anki_create_deck,https://github.com/2anki/create_deck,github,py|,44,0,0,256,0
nantral-platform_nantralPlatform_backend,https://github.com/nantral-platform/nantralPlatform,github,css|json|py|web|,1011,88,213,13754,301
a-r-j_graphein,https://github.com/a-r-j/graphein,github,py|yaml|,1963,1,393,16033,395
AABur_git-machete,https://github.com/AABur/git-machete,github,py|yaml|,1238,0,100,9304,100
aadhith1200_oop-python-example,https://github.com/aadhith1200/oop-python-example,github,py|,19,0,0,83,0
abey79_vpype,https://github.com/abey79/vpype,github,py|web|,1484,0,21,9742,21
AbsaOSS_spline-spark-agent,https://github.com/AbsaOSS/spline-spark-agent,github,json|py|scala|xml|yaml|,797,0,49,22117,49
AbsaOSS_enceladus,https://github.com/AbsaOSS/enceladus,github,css|js|json|py|scala|web|xml|yaml|,3636,3,358,45341,361
AcademySoftwareFoundation_OpenCue,https://github.com/AcademySoftwareFoundation/OpenCue,github,py|yaml|,5627,1,2046,41965,2047
AcademySoftwareFoundation_Imath,https://github.com/AcademySoftwareFoundation/Imath,github,c|cpp|py|,5862,89,6973,60719,7062
Acer0Felix_flask-blueprints,https://github.com/Acer0Felix/flask-blueprints,github,py|web|yaml|,60,3,11,385,14
Acer0Felix_plan_alimenticio,https://github.com/Acer0Felix/plan_alimenticio,github,css|js|json|py|web|xml|,98158,1488,27881,599351,29392
acgetchell_CDT-plusplus,https://github.com/acgetchell/CDT-plusplus,github,cpp|py|,582,0,9,3908,9
AdamOswald_face,https://github.com/AdamOswald/face,github,py|,262,1,15,970,16
add-ons_plugin.video.vrt.nu,https://github.com/add-ons/plugin.video.vrt.nu,github,py|xml|,1322,3,97,11891,100
addianto_bukan-pse,https://github.com/addianto/bukan-pse,github,py|,6,0,3,41,3
adessoAG_Seed-Test,https://github.com/adessoAG/Seed-Test,github,css|js|json|py|ts|web|,2175,1,144,17030,147
administrateur-Sexflixxx_curly-octo-guide,https://github.com/administrateur-Sexflixxx/curly-octo-guide,github,json|py|,286,0,93,1332,93
adriangs1996_wintry,https://github.com/adriangs1996/wintry,github,css|js|json|py|yaml|,541,1,38,3761,39
adyptation_webhooker,https://github.com/adyptation/webhooker,github,json|py|yaml|,26,0,19,171,19
afbenitez_SuperVoices,https://github.com/afbenitez/SuperVoices,github,abap|css|js|json|py|web|xml|yaml|,113,4,270,23000,274
aiproteomics_aiproteomics,https://github.com/aiproteomics/aiproteomics,github,py|,80,0,111,965,111
Airthium_tanatloc,https://github.com/Airthium/tanatloc,github,css|js|json|py|ts|,4030,0,1,33971,1
Ajapaik_ajapaik-web,https://github.com/Ajapaik/ajapaik-web,github,css|js|json|py|web|xml|yaml|,5572,108,866,42286,976
akanz1_klib,https://github.com/akanz1/klib,github,py|yaml|,160,0,8,1612,8
AkitaInteractive_Hachiko-Engine,https://github.com/AkitaInteractive/Hachiko-Engine,github,c|cpp|json|py|xml|yaml|,8293,10,3279,53745,3289
akraino-edge-stack_regional_controller,https://github.com/akraino-edge-stack/regional_controller,github,css|java|js|json|jsp|py|web|xml|yaml|,1080,63,245,12971,341
albcm-uniandes_hieroskopia,https://github.com/albcm-uniandes/hieroskopia,github,py|web|,24,0,0,682,0
AleksandrSokolov_saltcorn,https://github.com/AleksandrSokolov/saltcorn,github,css|js|json|py|ts|web|xml|yaml|,17638,59,3376,85067,3435
alexandre-frigout-sonarsource_squtilities,https://github.com/alexandre-frigout-sonarsource/squtilities,github,py|,22,0,0,95,0
alexandre-hernandes_devopslab,https://github.com/alexandre-hernandes/devopslab,github,py|,2,0,0,9,0
AlexHodgson_steamid-converter,https://github.com/AlexHodgson/steamid-converter,github,py|,18,0,10,123,10
AlexOmarov_ml_snippets_service,https://github.com/AlexOmarov/ml_snippets_service,github,py|yaml|,58,0,2,436,2
AlisaVasova_SimplexAlgorithm,https://github.com/AlisaVasova/SimplexAlgorithm,github,py|,140,0,6,474,6
allen870619_GuraDiscordBot,https://github.com/allen870619/GuraDiscordBot,github,py|,251,0,189,1242,189
alliander-opensource_power-grid-model,https://github.com/alliander-opensource/power-grid-model,github,cpp|py|,1840,0,387,13293,387
alliander-opensource_weather-provider-api,https://github.com/alliander-opensource/weather-provider-api,github,py|,576,0,24,4800,24
alliander-opensource_power-grid-model-io,https://github.com/alliander-opensource/power-grid-model-io,github,py|yaml|,314,0,1,1192,1
alpacahq_marketstore,https://github.com/alpacahq/marketstore,github,go|py|yaml|,8629,0,209,50899,209
AlvarDev_quick-demo,https://github.com/AlvarDev/quick-demo,github,py|,4,0,0,21,0
amadeus4dev_amadeus-python,https://github.com/amadeus4dev/amadeus-python,github,py|,230,0,15,2333,15
amandacruzz_TheFounders,https://github.com/amandacruzz/TheFounders,github,css|js|php|py|web|,650,33,133,4235,166
amani215_goalkeeper-performance-tracker-api,https://github.com/Amani215/goalkeeper-performance-tracker,github,json|py|,338,0,1,3743,1
amelie-foulc-sonarsource_test-public-repo,https://github.com/amelie-foulc-sonarsource/test-public-repo,github,py|,2,0,0,4,0
AmrithaNagarajan_ware-refactor,https://github.com/AmrithaNagarajan/ware-refactor,github,py|,108,0,6,583,6
amstelchen_PrimeGridParser,https://github.com/amstelchen/PrimeGridParser,github,py|,12,0,1,67,1
AnanthaRaam_loadbalancer-consistent-hashing,https://github.com/AnanthaRaam/loadbalancer-consistent-hashing,github,py|,25,0,5,105,5
AnanthaRaam_Train-Ticket-Booking-System,https://github.com/AnanthaRaam/Train-Ticket-Booking-System,github,css|py|web|,20,1,1,632,2
Andes0113_HelpFast,https://github.com/Andes0113/HelpFast,github,js|json|py|web|,51,0,1,797,1
AndreaC-dev_Repo_ciclo1_cuentas_claras,https://github.com/AndreaC-dev/Repo_ciclo1_cuentas_claras,github,py|,423,0,130,2771,130
agendaodonto-backend,https://github.com/andreroggeri/agendaodonto,github,py|,106,1,4,1051,5
andresvosa_testPythons,https://github.com/andresvosa/testPythons,github,py|web|yaml|,953,17,299,4421,316
andrewinci_insulator2,https://github.com/andrewinci/insulator2,github,json|py|ts|web|,435,0,13,2533,13
aneoconsulting_ArmoniK.Core,https://github.com/aneoconsulting/ArmoniK.Core,github,cs|json|py|,1797,0,180,14773,180
aneoconsulting_ArmoniK,https://github.com/aneoconsulting/ArmoniK,github,css|json|py|terraform|yaml|,9,0,1,11837,6
angelicamariarodriguez_Ionic,https://github.com/angelicamariarodriguez/Ionic,github,py|xml|,86,0,24,1583,24
angelicamariarodriguez_TC,https://github.com/angelicamariarodriguez/TC,github,py|xml|,121,0,47,920,47
angelicamariarodriguez_TutorialCanciones,https://github.com/angelicamariarodriguez/TutorialCanciones,github,py|,120,0,45,892,45
Anof-cyber_APTRS,https://github.com/Anof-cyber/APTRS,github,css|js|json|py|web|xml|,678,62,441,15943,503
Anselmoo_spectrafit,https://github.com/Anselmoo/spectrafit,github,js|json|py|yaml|,445,0,12,5246,12
AntaresSimulatorTeam_api-iso-antares,https://github.com/AntaresSimulatorTeam/AntaREST,github,css|js|py|ts|,7663,0,195,64083,195
AntaresSimulatorTeam_antares-xpansion,https://github.com/AntaresSimulatorTeam/antares-xpansion,github,c|cpp|py|,2210,1,603,14351,604
AntaresSimulatorTeam_Antares_Simulator,https://github.com/AntaresSimulatorTeam/Antares_Simulator,github,c|cpp|json|py|,25247,85,18158,163218,18243
antstackio_rover-engine,https://github.com/antstackio/rover-engine,github,json|py|ts|,208,0,5,2362,5
Antvirf_spectrefenix,https://github.com/Antvirf/spectrefenix,github,py|xml|,4,0,0,143,0
Antvirf_webhook-forwarder,https://github.com/Antvirf/webhook-forwarder-python,github,py|yaml|,45,0,0,312,0
apache_dubbo-go-pixiu,https://github.com/apache/dubbo-go-pixiu,github,css|go|js|json|py|ruby|web|xml|yaml|,43584,9,3509,374732,3518
apache-daffodil,https://github.com/apache/daffodil,github,java|json|py|scala|xml|,13378,0,304,68566,304
arachnidllc_billtitles-py,https://github.com/arachnidllc/billtitles-py,github,json|py|yaml|,62,0,20,464,20
araneforseti_heimdallr-viz,https://github.com/araneforseti/heimdallr-viz,github,css|py|ruby|web|yaml|,102,48,64,26113,112
archidote_lgds_publisher,https://github.com/archidote/lgds_publisher,github,py|,39,0,33,281,33
arenadata_adcm_client,https://github.com/arenadata/adcm_client,github,py|yaml|,679,0,31,3135,31
arenadata_adcm,https://github.com/arenadata/adcm,github,css|go|js|json|php|py|ts|web|yaml|,13006,31,665,103237,696
ArnaudFlaesch_Dash-MockServer,https://github.com/ArnaudFlaesch/Dash-MockServer,github,json|py|,3,0,0,29,0
arpitdubeyresourcifi_angular_code_check,https://github.com/arpitdubeyresourcifi/angular_code_check,github,json|py|yaml|,297,0,35,1582,35
art-tykh_DSVW,https://github.com/art-tykh/DSVW,github,py|,32,0,8,92,9
arvados_arvados,https://github.com/arvados/arvados,github,css|go|js|json|py|ruby|web|yaml|,28420,284,3322,197825,3606
asalasr_CuentasClaras,https://github.com/asalasr/CuentasClaras,github,py|web|,390,15,398,6220,413
ashwathkkp_library_management,https://github.com/ashwathkkp/library_management,github,css|py|,88,0,9,12082,9
asl1006_UbuExoWorks,https://github.com/asl1006/UbuExoWorks,github,css|json|py|web|,200,0,86,10282,86
AstroAir-Develop-Team_StarLand,https://github.com/AstroAir-Develop-Team/StarLand,github,css|js|json|py|web|,3154,21,874,19190,895
fink-client,https://github.com/astrolabsoftware/fink-client,github,py|yaml|,103,0,9,639,9
finkbroker,https://github.com/astrolabsoftware/fink-broker,github,json|py|xml|,168,0,19,2537,19
astrorama_Alexandria,https://github.com/astrorama/Alexandria,github,c|cpp|py|,3686,2,1338,23461,1340
asyncapi_python-paho-template,https://github.com/asyncapi/python-paho-template,github,js|json|py|yaml|,124,1,53,602,54
AtakamaLLC_omen2,https://github.com/AtakamaLLC/omen2,github,py|,596,5,37,2903,42
AtakamaLLC_notanorm,https://github.com/AtakamaLLC/notanorm,github,py|,543,0,4,2400,4
atelier-saulx_selva,https://github.com/atelier-saulx/selva,github,c|py|,4278,0,227,29066,227
atlas-bi_atlas-automation-hub,https://github.com/atlas-bi/atlas-automation-hub,github,css|js|json|py|xml|yaml|,1815,4,465,19944,470
AtomicNicos_atomicnicos.github.io,https://github.com/AtomicMaya/atomicmaya.github.io,github,css|js|json|py|ts|web|xml|yaml|,444,33,23,12800,56
aureleoules_bitcoin,https://github.com/aureleoules/bitcoin,github,c|cpp|java|json|py|ts|web|xml|,29208,67,10153,202665,10220
aureliaantz_FireflyAlgorithm,https://github.com/aureliaantz/FireflyAlgorithm,github,json|py|,91,1,20,290,21
AutomatedProcessImprovement_Waste-Calculation,https://github.com/AutomatedProcessImprovement/waiting-time-analysis,github,json|py|,297,1,26,2177,27
AutomatedProcessImprovement_Prosimos,https://github.com/AutomatedProcessImprovement/Prosimos,github,json|py|yaml|,1196,2,114,5182,116
AutomatedProcessImprovement_Simod,https://github.com/AutomatedProcessImprovement/Simod,github,json|py|yaml|,1029,2,94,6888,96
aws_aws-toolkit-jetbrains,https://github.com/aws/aws-toolkit-jetbrains,github,go|js|json|kotlin|py|web|xml|yaml|,9131,0,1593,99987,1593
awslabs_smithy-kotlin,https://github.com/awslabs/smithy-kotlin,github,css|json|kotlin|py|xml|,5560,0,535,100270,535
AWSToolbox_list-rds-instances,https://github.com/AWSToolbox/list-rds-instances,github,py|,20,0,1,85,1
AWSToolbox_list-availability-zones,https://github.com/AWSToolbox/list-availability-zones,github,py|,14,0,1,84,1
AWSToolbox_list-regions,https://github.com/AWSToolbox/list-regions,github,py|,20,0,0,96,0
AxaGuilDEv_dailyclean,https://github.com/AxaGuilDEv/dailyclean,github,java|js|json|py|web|xml|yaml|,377,0,32,3034,32
ayrtonpastor_cvxpy,https://github.com/ayrtonpastor/cvxpy,github,py|,6262,0,811,33041,811
bacherol_vbh,https://github.com/bacherol/vbh,github,py|,0,0,0,5,0
backube_volsync,https://github.com/backube/volsync,github,go|py|web|xml|yaml|,1161,0,22,13164,22
Balaguru16_library-management-python,https://github.com/Balaguru16/library-management-python,github,py|,,0,0,,0
Balaguru16_Library-Management-System-Python,https://github.com/Balaguru16/Library-Management-System-Python,github,py|,66,0,0,224,0
azizbaucad_testeur,https://github.com/azizbaucad/testeur,github,py|yaml|,230,0,180,1470,192
azizbaucad_Otis,https://github.com/azizbaucad/Otis,github,py|yaml|,162,0,103,1078,114
BankKiosk-ChampsTeam_BankKiosk,https://github.com/BankKiosk-ChampsTeam/BankKiosk,github,py|yaml|,117,1,87,351,88
Barry1_PyIntLab,https://github.com/Barry1/PyIntLab,github,py|,54,0,0,218,0
Barry1_PyValueFragments,https://github.com/Barry1/PyValueFragments,github,py|,39,0,2,284,2
BattleBanana_BattleBanana,https://github.com/BattleBanana/BattleBanana,github,py|,1845,0,50,7636,50
bcgov_nr-forests-access-management,https://github.com/bcgov/nr-forests-access-management,github,css|js|json|py|terraform|ts|web|yaml|,267,1,498,5535,499
bcgov_wps,https://github.com/bcgov/wps,github,css|js|json|py|ts|web|xml|yaml|,4780,0,95,40943,95
bcgov_queue-management,https://github.com/bcgov/queue-management,github,css|js|json|py|ts|web|xml|,7586,2,436,54387,438
bcgov_sbc-pay,https://github.com/bcgov/sbc-pay,github,json|py|,1709,0,221,10448,221
bcgov_itvr,https://github.com/bcgov/itvr,github,css|js|py|web|,679,3,59,7500,62
bcgov_cas-ciip-portal,https://github.com/bcgov/cas-ciip-portal,github,css|js|json|py|ts|web|yaml|,1505,2,36,19202,38
bcgov_foi-flow,https://github.com/bcgov/foi-flow,github,css|js|json|py|ts|web|xml|yaml|,5442,7,46,34794,53
bcgov_met-public,https://github.com/bcgov/met-public,github,css|js|json|py|ts|web|yaml|,1834,3,49,26764,52
bcgov_nr-bcws-wfnews,https://github.com/bcgov/nr-bcws-wfnews,github,css|js|json|jsp|py|terraform|ts|web|xml|yaml|,2310,24,284,26562,309
